Year,Week,Deaths,Population,BaselineRate,Expected,Excess,CumulativeExcess
1997,45,1016.0,13483268,6.33731914829564e-05,854.4777247800185,161.52227521998145,17215.869956046525
1997,46,944.0,13483268,6.170314808778597e-05,831.9600821113058,112.03991788869416,17327.90987393522
1997,47,1044.0,13483268,5.8838707674346465e-05,793.3380643468702,250.66193565312983,17578.57180958835
1997,48,1086.0,13483268,6.145073276374049e-05,828.5566986498937,257.44330135010625,17836.015110938457
1997,49,1020.0,13483268,6.332100216364649e-05,853.7740422010254,166.2259577989746,18002.241068737432
1997,50,988.0,13483268,6.458099021621689e-05,870.7627987906303,117.23720120936969,18119.4782699468
1997,51,1074.0,13483268,6.110013101885997e-05,823.829441362402,250.170558637598,18369.6488285844
1997,52,928.0,13483268,5.932282698132856e-05,799.865574706884,128.134425293116,18497.783253877515
1997,53,384.0,13483268,2.145729853204276e-05,289.31450666353913,94.68549333646087,18592.468747213978
1998,0,52062.0,13544473,0.0031273346229771888,42358.099362879715,9703.900637120285,9703.900637120285
1998,1,540.0,13544473,5.573116995058337e-05,754.8493266540878,-214.8493266540878,9489.051310466197
1998,2,864.0,13544473,6.248295679588379e-05,846.2987212820145,17.701278717985474,9506.752589184183
1998,3,902.0,13544473,6.0648388951308274e-05,821.4504666444932,80.54953335550681,9587.30212253969
1998,4,950.0,13544473,6.303471984937163e-05,853.7720610623782,96.22793893762184,9683.530061477311
1998,5,894.0,13544473,6.291327320498503e-05,852.1271302665432,41.87286973345681,9725.402931210769
1998,6,904.0,13544473,6.309039282329553e-05,854.5261221545201,49.47387784547993,9774.876809056248
1998,7,928.0,13544473,6.257332526826375e-05,847.5227146162161,80.47728538378385,9855.354094440032
1998,8,954.0,13544473,6.355170356345632e-05,860.7743330192378,93.22566698076218,9948.579761420795
1998,9,1066.0,13544473,6.234309098968312e-05,844.4043126463064,221.59568735369362,10170.175448774487
1998,10,1020.0,13544473,6.360417210696744e-05,861.4849917901736,158.51500820982642,10328.690456984314
1998,11,1046.0,13544473,6.355134421915103e-05,860.7694658899972,185.23053411000285,10513.920991094317
1998,12,1028.0,13544473,6.243219480709679e-05,845.6111768954627,182.38882310453732,10696.309814198854
1998,13,1026.0,13544473,6.0073884716307294e-05,813.6691095451368,212.33089045486315,10908.640704653717
1998,14,1080.0,13544473,6.0158159819534264e-05,814.8105714053667,265.18942859463334,11173.830133248352
1998,15,1024.0,13544473,5.837657447594465e-05,790.6799368219215,233.3200631780785,11407.15019642643
1998,16,1038.0,13544473,5.9152597885471416e-05,801.1907649396247,236.80923506037527,11643.959431486805
1998,17,884.0,13544473,5.720265876467354e-05,774.7798671663342,109.22013283366584,11753.17956432047
1998,18,994.0,13544473,5.630903884196734e-05,762.6762562509779,231.32374374902213,11984.503308069492
1998,19,988.0,13544473,5.7060437735909897e-05,772.8535582822127,215.1464417177873,12199.64974978728
1998,20,982.0,13544473,5.4066506031516115e-05,732.3023311482071,249.69766885179286,12449.347418639072
1998,21,950.0,13544473,5.7628853740975957e-05,780.5524535155978,169.4475464844022,12618.794965123474
1998,22,1032.0,13544473,5.754412463507201e-05,779.4048424283677,252.59515757163228,12871.390122695107
1998,23,900.0,13544473,5.7740313690651755e-05,782.062119794563,117.93788020543695,12989.328002900544
1998,24,974.0,13544473,5.5707419378653895e-05,754.5276376738544,219.47236232614557,13208.800365226689
1998,25,1068.0,13544473,5.567924762611161e-05,754.1460661321828,313.8539338678172,13522.654299094507
1998,26,922.0,13544473,5.85191710413552e-05,792.6113321520173,129.38866784798267,13652.04296694249
1998,27,952.0,13544473,5.9012348809496054e-05,799.2911651168015,152.7088348831985,13804.751801825689
1998,28,1014.0,13544473,5.7282299629780085e-05,775.8585607134663,238.14143928653368,14042.893241112222
1998,29,950.0,13544473,5.955847340505576e-05,806.6881349559958,143.3118650440042,14186.205106156225
1998,30,992.0,13544473,5.857417562080834e-05,793.3563401932968,198.64365980670323,14384.84876596293
1998,31,984.0,13544473,5.6826415335134464e-05,769.6838481935147,214.31615180648532,14599.164917769414
1998,32,944.0,13544473,5.8493538363922585e-05,792.2641510446136,151.73584895538636,14750.9007667248
1998,33,1030.0,13544473,5.6511385467957156e-05,765.4169346633381,264.5830653366619,15015.483832061464
1998,34,976.0,13544473,5.4958754195093555e-05,744.3873623090814,231.61263769091863,15247.096469752381
1998,35,1006.0,13544473,5.858066577832256e-05,793.4442459565139,212.5557540434861,15459.652223795867
1998,36,1026.0,13544473,5.7026871515970345e-05,772.3989215225295,253.60107847747054,15713.253302273339
1998,37,916.0,13544473,5.861293822858269e-05,793.8813592877061,122.11864071229388,15835.371942985632
1998,38,1040.0,13544473,5.892589155805512e-05,798.1201472090055,241.8798527909945,16077.251795776627
1998,39,1004.0,13544473,6.0129515810662323e-05,814.422603400589,189.57739659941103,16266.829192376037
1998,40,1012.0,13544473,6.179666208417639e-05,837.0032210892508,174.99677891074919,16441.825971286788
1998,41,928.0,13544473,6.21141866598976e-05,841.3039241319433,86.69607586805671,16528.522047154842
1998,42,1012.0,13544473,5.7892365318525756e-05,784.1215789629085,227.87842103709147,16756.400468191936
1998,43,1022.0,13544473,6.113801157143884e-05,828.082147003041,193.91785299695903,16950.318321188894
1998,44,1046.0,13544473,5.8692510190639125e-05,794.9591195793365,251.04088042066348,17201.359201609557
1998,45,984.0,13544473,6.33731914829564e-05,858.3564809647329,125.6435190352671,17327.002720644825
1998,46,1006.0,13544473,6.170314808778597e-05,835.7366232900188,170.26337670998123,17497.266097354805
1998,47,1076.0,13544473,5.8838707674346465e-05,796.9392874500785,279.0607125499215,17776.326809904727
1998,48,1046.0,13544473,6.145073276374049e-05,832.3177907486985,213.68220925130151,17990.00901915603
1998,49,1074.0,13544473,6.332100216364649e-05,857.6496041384514,216.35039586154858,18206.359415017578
1998,50,1114.0,13544473,6.458099021621689e-05,874.7154782968139,239.2845217031861,18445.643936720764
1998,51,1184.0,13544473,6.110013101885997e-05,827.5690748814113,356.4309251185887,18802.07486183935
1998,52,1114.0,13544473,5.932282698132856e-05,803.4964283322762,310.5035716677238,19112.578433507075
1998,53,652.0,13544473,2.145729853204276e-05,290.6278006201928,361.3721993798072,19473.950632886885
1999,0,53520.0,13629291,0.0031273346229771888,42623.35363093139,10896.646369068607,10896.646369068607
